NAICS6,SIC6
488111,458101
488119,458102
488119,495903
488190,458109
488210,478901
488310,449101
488320,449102
488330,449203
488330,449991
488330,449992
488390,449999
488390,478501
488390,769992
488410,754920
488490,417300
488490,423100
488490,478502
488490,478902
488510,473110
488510,473121
488991,478300
488999,472901
488999,478909
492110,421520
492110,451300
492210,421510
493110,422510
493110,422621
493120,422200
493120,422622
493130,422100
493190,422610
493190,422629
511110,271100
511120,272100
511130,273110
511140,274110
511140,733105
511191,277160
511199,274120
511210,737200
512110,781210
512110,781220
512120,782210
512120,782220
512131,783200
512132,783300
512191,781910
512199,781990
512199,782900
512210,899993
512220,899995
512230,273115
512230,274102
512230,899994
512240,738901
512290,738917
512290,792294
513111,483201
513112,483202
513120,483300
513210,484101
513220,484102
513310,481301
513310,482200
513321,481201
513322,481202
513322,481209
513322,489901
513330,481203
513330,481302
513340,489902
513390,489909
514110,738300
514120,823100
514191,737500
514199,899991
514210,737400
521110,601100
522110,602101
522110,602201
522110,608101
522110,609901
522120,603500
522120,603600
522120,614192
522130,606100
522130,606200
522190,602203
522210,602102
522210,602202
522210,614140
522210,615393
522220,614110
522220,614120
522220,615310
522220,615991
522291,614130
522291,614191
522292,611101
522292,615911
522292,616201
522293,608102
522293,608201
522293,615992
522294,611103
522294,615993
522298,593222
522298,608103
522298,611104
522298,615392
522298,615912
522298,615994
522310,616300
522320,601900
522320,609903
522320,615391
522320,738994
522390,609909
522390,616202
523110,621101
523120,621102
523130,609904
523130,622101
523130,679903
523140,622102
523210,623100
523910,621103
523910,679201
523910,679901
523910,679904
523920,628201
523920,673304
523920,679902
523930,628202
523991,609100
523991,609905
523991,628901
523991,673301
523999,609906
523999,621104
523999,628902
524113,631101
524113,632101
524114,632102
524114,632401
524126,633101
524126,635101
524127,636101
524128,639901
524130,631102
524130,632103
524130,632402
524130,633102
524130,635102
524130,636102
524130,639902
524210,641110
524291,641191
524292,637130
524292,641192
524298,641193
525930,679801
525930,679802
531110,651300
531110,651400
531120,651210
531120,651220
531120,651230
531120,651291
531130,422520
531190,651500
531190,651700
531190,651900
531210,653110
531210,653120
531311,653130
531312,653141
531320,653160
531390,653190
532111,751400
532112,751500
532120,751310
532120,751320
532120,751900
532210,735905
532220,729980
532220,781930
532230,784100
532291,735202
532292,799907
532299,729991
532299,735907
532310,735906
532411,449930
532411,474100
532411,735901
532412,735310
532412,735902
532420,735903
532420,737700
532490,735201
532490,735904
532490,781940
532490,792292
533110,679202
533110,679400
541110,811130
541710,873110
541710,873120
541710,873310
541710,873320
541720,873210
541720,873330
541110,811110
541191,654100
541199,738914
541211,872110
541213,729100
541214,781970
541214,872140
541219,872120
541310,871200
541330,871100
541340,738913
541350,738912
541360,108120
541360,138220
541360,148120
541360,871320
541370,738909
541370,871310
541380,873410
541410,738920
541420,738916
541430,733610
541430,733620
541430,809920
541490,738911
541511,737100
541512,737300
541512,737911
541513,737600
541519,737912
541519,737992
541611,874210
541612,736120
541612,874220
541612,899912
541613,874230
541614,874240
541618,473122
541618,874840
541620,899920
541690,874830
541690,899911
541710,873110
541710,873120
541720,873210
541810,731100
541820,874300
541830,731910
541840,731310
541840,731320
541850,731200
541850,731930
541860,733120
541870,731920
541890,519977
541890,731940
541890,738910
541890,738921
541910,873220
541921,722100
541922,733500
541922,809930
541930,738915
541990,738999
551111,671200
551112,608202
551112,671900
561110,874110
561210,874400
561310,736110
561310,781920
561310,792293
561320,736310
561330,736330
561410,733810
561421,481303
561421,738930
561422,738907
561431,738980
561439,733400
561440,732210
561450,732310
561450,732320
561491,732220
561491,738918
561492,733820
561499,738998
561510,472400
561520,472500
561591,738906
561599,472902
561599,738904
561599,792295
561599,799908
561599,869950
561611,738111
561612,738112
561613,738120
561621,738200
561622,769991
561710,734210
561720,458103
561720,734220
561720,734900
561740,721700
561790,495902
561790,738905
561790,769902
561790,769932
561910,738950
561920,738970
561990,738940
561990,738960
561990,738997
561990,874850
562111,421261
562112,421262
562119,421269
562211,495304
562212,495305
562213,495306
562219,495309
562910,179930
562910,495901
562920,495307
562991,735908
562991,769931
562998,495909
611410,824400
611420,824320
611430,829910
611511,723130
611512,824920
611512,829920
611513,824930
611519,824310
611519,824910
611519,824950
611610,791120
611610,829930
611620,799991
611630,829940
611691,829950
611692,829960
611699,829990
611710,829980
611710,874810
611410,824400
611420,824320
611430,829910
611511,723130
611511,724120
611512,824920
611512,829920
611513,824930
611519,824310
611519,824910
611519,824950
611610,791120
611610,829930
611620,799991
611630,829940
611691,829950
611692,829960
611699,829990
611710,829980
611710,874810
621410,809310
621410,809910
621420,809320
621491,801103
621492,809200
621493,801104
621498,809330
621610,808200
621910,411930
621910,452204
621991,809940
621999,809950
622110,806210
622110,806220
622110,806911
622110,806921
622210,806310
622210,806320
622210,806912
622210,806922
622310,806913
622310,806923
623110,805310
623210,805320
623220,836110
623311,805330
623312,836120
623990,836130
624110,832210
624110,864140
624120,832220
624190,832290
624210,832240
624221,832250
624229,832260
624230,832270
624310,833100
624410,835100
621111,801101
621111,803101
621112,801102
621112,803102
621210,802100
621310,804100
621320,804200
621330,804910
621340,804920
621340,804930
621391,804300
621399,804940
621410,809310
621410,809910
621420,809320
621491,801103
621492,809200
621493,801104
621498,809330
621511,807110
621512,807120
621610,808200
621910,411930
621910,452204
621991,809940
621999,809950
622110,806210
622110,806911
622210,806310
622210,806912
622310,806913
623110,805310
623210,805320
623220,836110
623311,805330
623312,836120
623990,836130
624110,832210
624120,832220
624190,832290
624210,832240
624221,832250
624229,832260
624230,832270
624310,833100
624410,729996
624410,835100
711110,792211
711110,792213
711120,792212
711130,792921
711130,792930
711190,792992
711190,799921
711310,651292
711310,792291
711310,794141
711320,792220
711320,792231
711320,799930
712110,841210
712120,841220
712130,842210
712190,799902
712190,842220
713910,799200
713910,799710
713940,799100
713940,799720
713940,799904
713990,799730
713990,799999
711110,581211
711110,792211
711110,792213
711120,792212
711130,792921
711130,792930
711190,792992
711190,799921
711211,794110
711211,794120
711211,794130
711212,794810
711212,794820
711212,794830
711219,794840
711219,799901
711310,651292
711310,792291
711310,794141
711320,792220
711320,792231
711320,794142
711320,799922
711320,799930
711410,738919
711410,792232
711410,794143
711510,781950
711510,792991
711510,899930
712110,841210
712120,841220
712130,842210
712190,799902
712190,842220
713110,799610
713110,799620
713120,799330
713210,799905
713290,799320
713290,799906
713910,799200
713910,799710
713920,799903
713930,449300
713940,799100
713940,799720
713940,799904
713940,799960
713940,799970
713950,793300
713990,791110
713990,799310
713990,799730
713990,799910
713990,799996
713990,799999
721110,701131
721110,701140
721110,701160
721110,701180
721110,704110
721120,701150
721191,701170
721191,701190
721199,701132
721211,703300
721214,703200
721310,702100
721310,704120
722110,581212
722211,581280
722212,581230
722213,546112
722213,546130
722213,546140
